StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
G1;Α;A;" the first letter of the alphabet, figuratively, only (from its use as a numeral) the first: ";
G2;Ἀαρών;Aarṓn;" Aaron, the brother of Moses";
G3;Ἀβαδδών;Abaddṓn;" a destroying angel";
G4;ἀβαρής;abarḗs;" weightless, i.e. (figuratively) not burdensome";
G5;Ἀββᾶ;Abbâ;" father as a vocative";
G6;Ἄβελ;Ábel;" Abel, the son of Adam";
G7;Ἀβιά;Abiá;" Abijah, the name of two Israelites";
G8;Ἀβιαθάρ;Abiathár;" Abiathar, an Israelite";
G9;Ἀβιληνή;Abilēnḗ;" Abilene, a region of Syria";
G10;Ἀβιούδ;Abioúd;" Abihud, an Israelite";
G11;Ἀβραάμ;Abraám;" Abraham, the Hebrew patriarch";
G12;ἄβυσσος;ábyssos;" depthless, i.e. (specially) (infernal) 'abyss'";
G13;Ἄγαβος;Ágabos;" Agabus, an Israelite";
G14;ἀγαθοεργέω;agathoergéō;" to work good";
G15;ἀγαθοποιέω;agathopoiéō;" to be a well-doer (as a favor or a duty)";
G16;ἀγαθοποιΐα;agathopoiḯa;" well-doing, i.e. virtue";
G17;ἀγαθοποιός;agathopoiós;" a well-doer, i.e. virtuous";
G18;ἀγαθός;agathós;" 'good' (in any sense, often as noun)";
G19;ἀγαθωσύνη;agathōsýnē;" goodness, i.e. virtue or beneficence";
G20;ἀγαλλίασις;agallíasis;" exultation, specially, welcome";
G21;ἀγαλλιάω;agalliáō;" properly, to jump for joy, i.e. exult";
G22;ἄγαμος;ágamos;" unmarried";
G23;ἀγανακτέω;aganaktéō;" akin to the base of G43 (ἀγκάλη)), to be greatly afflicted, i.e. (figuratively) indignant";
G24;ἀγανάκτησις;aganáktēsis;" indignation";
G25;ἀγαπάω;agapáō;" to love (in a social or moral sense)";
G26;ἀγάπη;agápē;" love, i.e. affection or benevolence, specially (plural) a love-feast";
G27;ἀγαπητός;agapētós;" beloved";
G28;Ἄγαρ;Ágar;" Hagar, the concubine of Abraham";
G29;ἀγγαρεύω;angareúō;" properly, to be a courier, i.e. (by implication) to press into public service";
G30;ἀγγεῖον;angeîon;" compare the base of G43 (ἀγκάλη)), a receptacle";
G31;ἀγγελία;angelía;" an announcement, i.e. (by implication) precept";
G32;ἄγγελος;ángelos;" compare G34 (ἀγέλη)) (to bring tidings), a messenger, especially an 'angel', by implication, a pastor";
G33;ἄγε;áge;" properly, lead, i.e. come on";
G34;ἀγέλη;agélē;" a drove";
G35;ἀγενεαλόγητος;agenealógētos;" unregistered as to birth";
G36;ἀγενής;agenḗs;" properly, without kin, i.e. (of unknown descent, and by implication) ignoble";
G37;ἁγιάζω;hagiázō;" to make holy, i.e. (ceremonially) purify or consecrate, (mentally) to venerate";
G38;ἁγιασμός;hagiasmós;" properly, purification, i.e. (the state) purity, concretely (by Hebraism) a purifier";
G39;ἅγιον;hágion;" a sacred thing (i.e. spot)";
G40;ἅγιος;hágios;" sacred (physically, pure, morally blameless or religious, ceremonially, consecrated)";
G41;ἁγιότης;hagiótēs;" sanctity (i.e. properly, the state)";
G42;ἁγιωσύνη;hagiōsýnē;" sacredness (i.e. properly, the quality)";
G43;ἀγκάλη;ankálē;" an arm (as curved)";
G44;ἄγκιστρον;ánkistron;" a hook (as bent)";
G45;ἄγκυρα;ánkyra;" an 'anchor' (as crooked)";
G46;ἄγναφος;ágnaphos;" properly, unfulled, i.e. (by implication) new (cloth)";
G47;ἁγνεία;hagneía;" cleanliness (the quality), i.e. (specially) chastity";
G48;ἁγνίζω;hagnízō;" to make clean, i.e. (figuratively) sanctify (ceremonially or morally)";
G49;ἁγνισμός;hagnismós;" a cleansing (the act), i.e. (ceremonially) lustration";
G50;ἀγνοέω;agnoéō;" not to know (through lack of information or intelligence), by implication, to ignore (through disinclination)";
G51;ἀγνόημα;agnóēma;" a thing ignored, i.e. shortcoming";
G52;ἄγνοια;ágnoia;" ignorance (properly, the quality)";
G53;ἁγνός;hagnós;" properly, clean, i.e. (figuratively) innocent, modest, perfect";
G54;ἁγνότης;hagnótēs;" cleanness (the state), i.e. (figuratively) blamelessness";
G55;ἁγνῶς;hagnōs;" purely, i.e. honestly";
G56;ἀγνωσία;agnōsía;" ignorance (properly, the state)";
G57;ἄγνωστος;ágnōstos;" unknown";
G58;ἀγορά;agorá;" probably akin to G1453 (ἐγείρω)), properly, the town-square (as a place of public resort), by implication, a market or thoroughfare";
G59;ἀγοράζω;agorázō;" properly, to go to market, i.e. (by implication) to purchase, specially, to redeem";
G60;ἀγοραῖος;agoraîos;" relating to the market-place, i.e. forensic (times), by implication, vulgar";
G61;ἄγρα;ágra;" (abstractly) a catching (of fish), also (concretely) a haul (of fish)";
G62;ἀγράμματος;agrámmatos;" unlettered, i.e. illiterate";
G63;ἀγραυλέω;agrauléō;" to camp out";
G64;ἀγρεύω;agreúō;" to hunt, i.e. (figuratively) to entrap";
G65;ἀγριέλαιος;agriélaios;" an oleaster";
G66;ἄγριος;ágrios;" wild (as pertaining to the country), literally (natural) or figuratively (fierce)";
G67;Ἀγρίππας;Agríppas;" wild-horse tamer, Agrippas, one of the Herods";
G68;ἀγρός;agrós;" a field (as a drive for cattle), genitive case, the country, specially, a farm, i.e. hamlet";
