StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
G101;ἀδυνατέω;adynatéō; to be unable, i.e. (passively) impossible;képtelen lenni, lehetetlennek bizonyulni (passzívum)
G102;ἀδύνατος;adýnatos; unable, i.e. weak (literally or figuratively), passively, impossible;képtelen, gyenge (szó szerint vagy átvitt értelemben), passzívan lehetetlen.
G103;ᾄδω;áidō; to sing;énekelni, zengeni, himnuszban énekelni, dicsőíteni éneken keresztül.
G104;ἀεί;aeí; 'ever,' by qualification regularly, by implication, earnestly;mindig, rendszeresen, következetesen, szívből, buzgón
G105;ἀετός;aetós; an eagle (from its wind-like flight);sas (a gyors, szélhez hasonló repülésre utalva)
G106;ἄζυμος;ázymos; unleavened, i.e. (figuratively) uncorrupted, (in the neutral plural) specially (by implication) the Passover week;kelesztetlen, azaz (átvitt értelemben) romlatlan, (semleges többes számban) különösen a páschai hétre vonatkozóan.
G107;Ἀζώρ;Azṓr; Azor, an Israelite;Azór, egy izraeli.
G108;Ἄζωτος;Ázōtos; Azotus (i.e. Ashdod), a place in Palestine;Azótusz (azaz Asdód), egy hely Palesztínában.
G109;ἀήρ;aḗr; by analogy, to blow), 'air' (as naturally circumambient);levegő (mint a természetben körülvevő közeg), szél (az analógia alapján, fúvásból eredően)
G110;ἀθανασία;athanasía; deathlessness;halhatatlanság, a halálmentesség állapota vagy jellege
G111;ἀθέμιτος;athémitos; from the base of G5087 (τίθημι)), illegal, by implication, flagitious;törvénytelen, tilos, igazságtalan, erkölcsileg káros, vétkes cselekedet.
G112;ἄθεος;átheos; godless;istenetlen, Isten nélkül való, istentelen gondolkodású, aki nem ismeri el az Istent.
G113;ἄθεσμος;áthesmos; lawless, i.e. (by implication) criminal;törvénytelen, vagyis (implikációban) bűnös, törvényen kívüli.
G114;ἀθετέω;athetéō; to set aside, i.e. (by implication) to disesteem, neutralize or violate;elutasítani, mellőzni, érvényteleníteni, megsérteni, felmondani (szándékosan figyelmen kívül hagyni, elhanyagolni, vagy egy megállapodást felrúgni)
G115;ἀθέτησις;athétēsis; cancellation (literally or figuratively);érvénytelenítés (szó szerint vagy átvitt értelemben), semmissé tétel, érvényvesztés.
G116;Ἀθῆναι;Athēnai; Athenæ, the capitol of Greece;Athén, Görögország fővárosa.
G117;Ἀθηναῖος;Athēnaîos; an Athenæan or inhabitant of Athenæ;athéni, vagy Athén lakója
G118;ἀθλέω;athléō; to contend in the competitive games;versenyezni, küzdeni a játékokon, megmérettetni magát a versenyeken, erőpróbát tenni.
G119;ἄθλησις;áthlēsis; a struggle (figuratively);küzdelem (szó szerint és átvitt értelemben), megpróbáltatás, versengés, erőpróba, szenvedés a hitben.
G120;ἀθυμέω;athyméō; to be spiritless, i.e. disheartened;lelketlen lenni, elkeseredni, elszomorodni, bátortalanságot tanúsítani.
G121;ἄθωος;áthōos; not guilty;ártatlan, vétlen, igaznak ítélt, bűntelen.
G122;αἴγειος;aígeios; belonging to a goat;kecskéhez tartozó, kecskeszerű, kecskéhez való
G123;αἰγιαλός;aigialós; a beach (on which the waves dash);tengerpart (ahol a hullámok törnek)
G124;Αἰγύπτιος;Aigýptios; an Ægyptian or inhabitant of Ægyptus;egyiptomi, vagy Egyiptom lakója
G125;Αἴγυπτος;Aígyptos; Ægyptus, the land of the Nile;Egyiptom, a Nílus országa.
G126;ἀΐδιος;aḯdios; everduring (forward and backward, or forward only);örökkévaló (mind a múltra, mind a jövőre nézve, vagy csak a jövőre vonatkozóan)
G127;αἰδώς;aidṓs; bashfulness, i.e. (towards men), modesty or (towards God) awe;"szégyenlősség, emberi kapcsolatokban; alázat, istenfélelem, tisztelet."
G128;Αἰθίοψ;Aithíops; an Æthiopian (as a blackamoor);etióp, egy a déli népekhez tartozó személy, gyakran sötét bőrűként említve.
G129;αἷμα;haîma; blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ), by implication, bloodshed, also kindred;vér, szó szerint (embereké vagy állatoké), átvitt értelemben (szőlő leve), különösen (Krisztus megváltó vére), következményként vérengzés, valamint rokonság.
G130;αἱματεκχυσία;haimatekchysía; an effusion of blood;vérömlés, vérveszteség, vércseppentés (általában áldozati vagy erőszakos cselekmény következtében)
G131;αἱμοῤῥέω;haimorrhéō; to flow blood, i.e. have a hæmorrhage;vérezni, vérszivárgást tapasztalni, vérfolyásban szenvedni
G132;Αἰνέας;Ainéas; Ænĕas, an Israelite;Éneás, egy izraelita
