Verse Reference,Bible Gateway Link (Chapter),bbe,web,ylt
Gen 20:17,Gen20:17,"Then Abraham made prayer to God, and God made Abimelech well again, and his wife and his women-servants, so that they had children.","Abraham prayed to God. God healed Abimelech, and his wife, and his female servants, and they bore children.",
Exod 15:26,Exod15:26,"And he said, If with all your heart you will give attention to the voice of the Lord your God, and do what is right in his eyes, giving ear to his orders and keeping his laws, I will not put on you any of the diseases which I put on the Egyptians: for I am the Lord your life-giver.","and he said, “If you will diligently listen to Yahweh your God’s voice, and will do that which is right in his eyes, and will pay attention to his commandments, and keep all his statutes, I will put none of the diseases on you, which I have put on the Egyptians; for I am Yahweh who heals you.”",
Exod 21:19,Exod21:19,"If he is able to get up again and go about with a stick, the other will be let off; only he will have to give him payment for the loss of his time, and see that he is cared for till he is well.","if he rises again and walks around with his staff, then he who struck him shall be cleared: only he shall pay for the loss of his time, and shall provide for his healing until he is thoroughly healed.",
Lev 13:18,Lev13:18,"And if a bad place has come out on the skin and is well again,","“When the body has a boil on its skin, and it has healed,",
Lev 13:37,Lev13:37,"But if, in his opinion, the growth is stopped, and black hair has come up on it, the disease has gone; he is clean and the priest will say that he is clean.","But if in his eyes the itch is arrested, and black hair has grown in it; the itch is healed, he is clean. The priest shall pronounce him clean.",
Lev 14:3,Lev14:3,"And the priest is to go outside the tent-circle; and if, after looking, the priest sees that the mark of the disease has gone from him,","and the priest shall go out of the camp. The priest shall examine him, and behold, if the plague of leprosy is healed in the leper,",
Lev 14:48,Lev14:48,"And if the priest comes in, and sees that the disease is not increased after the new paste has been put on the house, then the priest will say that the house is clean, because the disease is gone.","“If the priest shall come in, and examine it, and behold, the plague hasn’t spread in the house, after the house was plastered, then the priest shall pronounce the house clean, because the plague is healed.",
2 Sam 12:15,2Sam12:15,"Then Nathan went back to his house. And the hand of the Lord was on David's son, the child of Uriah's wife, and it became very ill.","Nathan departed to his house.
Yahweh struck the child that Uriah’s wife bore to David, and it was very sick.",
1 Kgs 18:30,1Kgs18:30,"Then Elijah said to all the people, Come near to me; and all the people came near. And he put up again the altar of the Lord which had been broken down.","Elijah said to all the people, “Come near to me!”; and all the people came near to him. He repaired Yahweh’s altar that had been thrown down.",
2 Kgs 2:21,2Kgs2:21,"Then he went out to the spring from which the water came, and put salt in it, and said, The Lord says, Now I have made this water sweet; no longer will it be death-giving or unfertile.","He went out to the spring of the waters, and threw salt into it, and said, “Yahweh says, ‘I have healed these waters. There shall not be from there any more death or barren wasteland.’”",
2 Kgs 8:29,2Kgs8:29,"So King Joram went back to Jezreel to get well from the wounds which the bowmen had given him at Ramah, when he was fighting against Hazael, king of Aram. And Ahaziah, the son of Jehoram, king of Judah, went down to see Joram, the son of Ahab, in Jezreel, because he was ill.","King Joram returned to be healed in Jezreel from the wounds which the Syrians had given him at Ramah, when he fought against Hazael king of Syria. Ahaziah the son of Jehoram king of Judah went down to see Joram the son of Ahab in Jezreel, because he was sick.",
2 Kgs 9:15,2Kgs9:15,"But King Joram had gone back to Jezreel to get well from the wounds which the Aramaeans had given him when he was fighting against Hazael, king of Aram.) And Jehu said, If this is your purpose, then let no one get away and go out of the town to give news of it in Jezreel.","but king Joram had returned to be healed in Jezreel of the wounds which the Syrians had given him, when he fought with Hazael king of Syria.) Jehu said, “If this is your thinking, then let no one escape and go out of the city, to go to tell it in Jezreel.”",
2 Kgs 20:5,2Kgs20:5,"Go back and say to Hezekiah, the ruler of my people, The Lord, the God of David your father, says, Your prayer has come to my ears, and I have seen your weeping; see, I will make you well: on the third day you will go up to the house of the Lord.","“Turn back, and tell Hezekiah the prince of my people, ‘Yahweh, the God of David your father, says, “I have heard your prayer. I have seen your tears. Behold, I will heal you. On the third day, you will go up to Yahweh’s house.",
2 Kgs 20:8,2Kgs20:8,"And Hezekiah said to Isaiah, What is to be the sign that the Lord will make me well, and that I will go up to the house of the Lord on the third day?","Hezekiah said to Isaiah, “What will be the sign that Yahweh will heal me, and that I will go up to Yahweh’s house the third day?”",
2 Chr 7:14,2Chr7:14,"If my people, on whom my name is named, make themselves low and come to me in prayer, searching for me and turning from their evil ways; then I will give ear from heaven, overlooking their sin, and will give life again to their land.","if my people, who are called by my name, will humble themselves, pray, seek my face, and turn from their wicked ways; then I will hear from heaven, will forgive their sin, and will heal their land.",
2 Chr 22:6,2Chr22:6,"And he went back to Jezreel to get well from the wounds which they had given him at Ramah when he was fighting against Hazael, king of Aram. And Ahaziah, the son of Jehoram, king of Judah, went down to Jezreel to see Jehoram, the son of Ahab, because he was ill.","He returned to be healed in Jezreel of the wounds which they had given him at Ramah, when he fought against Hazael king of Syria. Azariah the son of Jehoram king of Judah went down to see Jehoram the son of Ahab in Jezreel, because he was sick.",
2 Chr 30:20,2Chr30:20,"And the Lord gave ear to Hezekiah, and made the people well.","Yahweh listened to Hezekiah, and healed the people.",
2 Chr 36:16,2Chr36:16,"But they put shame on the servants of God, making sport of his words and laughing at his prophets, till the wrath of God was moved against his people, till there was no help.","but they mocked the messengers of God, and despised his words, and scoffed at his prophets, until Yahweh’s wrath arose against his people, until there was no remedy.",
Job 5:18,Job5:18,"For after his punishment he gives comfort, and after wounding, his hands make you well.","For he wounds, and binds up.
He injures, and his hands make whole.",
Ps 6:2,Ps6:2,"Have mercy on me, O Lord, for I am wasted away: make me well, for even my bones are troubled.","Have mercy on me, Yahweh, for I am faint.
Yahweh, heal me, for my bones are troubled.",
Ps 30:2,Ps30:2,"O Lord my God, I sent up my cry to you, and you have made me well.","Yahweh my God, I cried to you,
and you have healed me.",
Ps 41:4,Ps41:4,"I said, Lord, have mercy on me; make my soul well, because my faith is in you.","I said, “Yahweh, have mercy on me!
Heal me, for I have sinned against you.”",
Ps 60:2,Ps60:2,"By the power of your hand the earth is shaking and broken; make it strong again, for it is moved.","You have made the land tremble.
You have torn it.
Mend its fractures,
for it quakes.",
Ps 103:3,Ps103:3,He has forgiveness for all your sins; he takes away all your diseases;,"who forgives all your sins;
who heals all your diseases;",
Ps 107:20,Ps107:20,"He sent his word and made them well, and kept them safe from the underworld.","He sends his word, and heals them,
and delivers them from their graves.",
Ps 147:3,Ps147:3,"He makes the broken-hearted well, and puts oil on their wounds.","He heals the broken in heart,
and binds up their wounds.",
Prov 3:8,Prov3:8,"This will give strength to your flesh, and new life to your bones.","It will be health to your body,
and nourishment to your bones.",
Prov 4:22,Prov4:22,"For they are life to him who gets them, and strength to all his flesh.","For they are life to those who find them,
and health to their whole body.",
Prov 12:18,Prov12:18,"There are some whose uncontrolled talk is like the wounds of a sword, but the tongue of the wise makes one well again.","There is one who speaks rashly like the piercing of a sword,
but the tongue of the wise heals.",
Prov 13:17,Prov13:17,"A man taking false news is a cause of trouble, but he who gives news rightly makes things well.","A wicked messenger falls into trouble,
but a trustworthy envoy gains healing.",
Prov 14:30,Prov14:30,"A quiet mind is the life of the body, but envy is a disease in the bones.","The life of the body is a heart at peace,
but envy rots the bones.",
Prov 15:4,Prov15:4,"A comforting tongue is a tree of life, but a twisted tongue is a crushing of the spirit.","A gentle tongue is a tree of life,
but deceit in it crushes the spirit.",
Prov 16:24,Prov16:24,"Pleasing words are like honey, sweet to the soul and new life to the bones.","Pleasant words are a honeycomb,
sweet to the soul, and health to the bones.",
Prov 29:1,Prov29:1,"A man hating sharp words and making his heart hard, will suddenly be broken and will not be made well again.","He who is often rebuked and stiffens his neck
will be destroyed suddenly, with no remedy.",
Eccl 3:3,Eccl3:3,A time to put to death and a time to make well; a time for pulling down and a time for building up;,"a time to kill,
and a time to heal;
a time to break down,
and a time to build up;",
Isa 1:6,Isa1:6,"The body, from head to foot, is all diseased; it is a mass of open wounds, marks of blows, and broken flesh: the flow of blood has not been stopped, and no oil has been put on the wounds.","From the sole of the foot even to the head there is no soundness in it:
wounds, welts, and open sores.
They haven’t been closed, neither bandaged, neither soothed with oil.",
Isa 6:10,Isa6:10,"Make the hearts of this people fat, and let their ears be stopped, and their eyes shut; for fear that they may see with their eyes, and be hearing with their ears, and their heart may become wise, and they may be turned to me and made well.","Make the heart of this people fat.
Make their ears heavy, and shut their eyes;
lest they see with their eyes,
and hear with their ears,
and understand with their heart,
and turn again, and be healed.”",
Isa 19:22,Isa19:22,"And the Lord will send punishment on Egypt, and will make them well again; and when they come back to the Lord he will give ear to their prayer and take away their disease.","Yahweh will strike Egypt, striking and healing. They will return to Yahweh, and he will be entreated by them, and will heal them.",
Isa 30:26,Isa30:26,"And the light of the moon will be as the light of the sun, and the light of the sun will be seven times greater, as the light of seven days, in the day when the Lord puts oil on the wounds of his people, and makes them well from the blows they have undergone.","Moreover the light of the moon will be like the light of the sun, and the light of the sun will be seven times brighter, like the light of seven days, in the day that Yahweh binds up the fracture of his people, and heals the wound they were struck with.",
Isa 53:5,Isa53:5,"But it was for our sins he was wounded, and for our evil doings he was crushed: he took the punishment by which we have peace, and by his wounds we are made well.","But he was pierced for our transgressions.
He was crushed for our iniquities.
The punishment that brought our peace was on him;
and by his wounds we are healed.",
Isa 57:18,Isa57:18,"I have seen his ways, and I will make him well: I will give him rest, comforting him and his people who are sad.","I have seen his ways, and will heal him:
I will lead him also,
and restore comforts to him and to his mourners.",
Isa 57:19,Isa57:19,"I will give the fruit of the lips: Peace, peace, to him who is near and to him who is far off, says the Lord; and I will make him well.","I create the fruit of the lips:
Peace, peace, to him who is far off and to him who is near,”
says Yahweh; “and I will heal them.”",
Isa 58:8,Isa58:8,"Then will light be shining on you like the morning, and your wounds will quickly be well: and your righteousness will go before you, and the glory of the Lord will come after you.","Then your light will break out as the morning,
and your healing will appear quickly;
then your righteousness shall go before you;
and Yahweh’s glory will be your rear guard.",
Isa 61:1,Isa61:1,"The spirit of the Lord is on me, because I am marked out by him to give good news to the poor; he has sent me to make the broken-hearted well, to say that the prisoners will be made free, and that those in chains will see the light again;","The Lord Yahweh’s Spirit is on me;
because Yahweh has anointed me to preach good news to the humble.
He has sent me to bind up the broken hearted,
to proclaim liberty to the captives,
and release to those who are bound;",
Jer 3:22,Jer3:22,"Come back, you children who have been turned away, and I will take away your desire for wandering. See, we have come to you, for you are the Lord our God.","Return, you backsliding children, and I will heal your backsliding.
“Behold, we have come to you; for you are Yahweh our God.",
Jer 6:14,Jer6:14,"And they have made little of the wounds of my people, saying, Peace, peace; when there is no peace.","They have healed also the hurt of my people superficially,
saying, ‘Peace, peace!’ when there is no peace.",
Jer 8:11,Jer8:11,"And they have made little of the wounds of the daughter of Zion, saying, Peace, peace; when there is no peace.","They have healed the hurt of the daughter of my people slightly, saying,
“Peace, peace,” when there is no peace.",
Jer 8:15,Jer8:15,"We were looking for peace, but no good came; and for a time of well-being, but there is only a great fear.","We looked for peace, but no good came;
and for a time of healing, and behold, dismay!",
Jer 8:22,Jer8:22,Is there no life-giving oil in Gilead? is there no expert in medical arts? why then have my people not been made well?,"Is there no balm in Gilead?
Is there no physician there?
Why then isn’t the health of the daughter of my people recovered?",
Jer 11:19,Jer11:19,"But I was like a gentle lamb taken to be put to death; I had no thought that they were designing evil against me, saying, Come and let us make trouble his food, cutting him off from the land of the living, so that there may be no more memory of his name.","But I was like a gentle lamb that is led to the slaughter. I didn’t know that they had devised plans against me, saying,
“Let us destroy the tree with its fruit,
and let us cut him off from the land of the living,
that his name may be no more remembered.”",
Jer 14:19,Jer14:19,"Have you completely given up Judah? is your soul turned in disgust from Zion? why have you given us blows from which there is no one to make us well? we were looking for peace, but no good came; and for a time of well-being, but there was only a great fear.","Have you utterly rejected Judah?
Has your soul loathed Zion?
Why have you struck us, and there is no healing for us?
We looked for peace, but no good came;
and for a time of healing, and behold, dismay!",
Jer 15:18,Jer15:18,"Why is my pain unending and my wound without hope of being made well? Sorrow is mine, for you are to me as a stream offering false hope and as waters which are not certain.","Why is my pain perpetual,
and my wound incurable,
which refuses to be healed?
Will you indeed be to me as a deceitful brook,
like waters that fail?",
Jer 17:14,Jer17:14,"Make me well, O Lord, and I will be well; be my saviour, and I will be safe: for you are my hope.","Heal me, O Yahweh, and I will be healed.
Save me, and I will be saved;
for you are my praise.",
Jer 19:11,Jer19:11,"And say to them, This is what the Lord of armies has said: Even so will this people and this town be broken by me, as a potter's bottle is broken and may not be put together again: and the bodies of the dead will be put in the earth in Topheth, till there is no more room.","and shall tell them, ‘Yahweh of Armies says: “Even so I will break this people and this city, as one breaks a potter’s vessel, that can’t be made whole again. They will bury in Topheth, until there is no place to bury.",
Jer 30:13,Jer30:13,"There is no help for your wound, there is nothing to make you well.","There is no one to plead your cause,
that you may be bound up.
You have no healing medicines.",
Jer 30:17,Jer30:17,"For I will make you healthy again and I will make you well from your wounds, says the Lord; because they have given you the name of an outlaw, saying, It is Zion cared for by no man.","For I will restore health to you,
and I will heal you of your wounds,” says Yahweh;
“because they have called you an outcast,
saying, ‘It is Zion, whom no man seeks after.’”",
Jer 33:6,Jer33:6,"See, I will make it healthy and well again, I will even make them well; I will let them see peace and good faith in full measure.","‘Behold, I will bring it health and cure, and I will cure them; and I will reveal to them abundance of peace and truth.",
Jer 46:11,Jer46:11,"Go up to Gilead and take sweet oil, O virgin daughter of Egypt: there is no help in all your medical arts; nothing will make you well.","Go up into Gilead, and take balm, virgin daughter of Egypt.
You use many medicines in vain.
There is no healing for you.",
Lam 2:13,Lam2:13,"What example am I to give you? what comparison am I to make for you, O daughter of Jerusalem? what am I to make equal to you, so that I may give you comfort, O virgin daughter of Zion? for your destruction is great like the sea: who is able to make you well?","What shall I testify to you?
What shall I liken to you, daughter of Jerusalem?
What shall I compare to you,
that I may comfort you, virgin daughter of Zion?
For your breach is as big as the sea.
Who can heal you?",
Ezek 30:21,Ezek30:21,"Son of man, the arm of Pharaoh, king of Egypt, has been broken by me, and no band has been put round it to make it well, no band has been twisted round it to make it strong for gripping the sword.","“Son of man, I have broken the arm of Pharaoh king of Egypt. Behold, it has not been bound up, to apply medicines, to put a bandage to bind it, that it become strong to hold the sword.",
Ezek 30:22,Ezek30:22,"For this cause the Lord has said: See, I am against Pharaoh, king of Egypt, and by me his strong arm will be broken; and I will make the sword go out of his hand.","Therefore thus says the Lord Yahweh: ‘Behold, I am against Pharaoh king of Egypt, and will break his arms, the strong arm, and that which was broken. I will cause the sword to fall out of his hand.",
Ezek 34:4,Ezek34:4,You have not made the diseased ones strong or made well that which was ill; you have not put bands on the broken or got back that which had been sent away or made search for the wandering ones; and the strong you have been ruling cruelly.,"You haven’t strengthened the diseased. You haven’t healed that which was sick. You haven’t bound up that which was broken. You haven’t brought back that which was driven away. You haven’t sought that which was lost, but you have ruled over them with force and with rigor.",
Ezek 34:16,Ezek34:16,"I will go in search of that which had gone wandering from the way, and will get back that which had been sent in flight, and will put bands on that which was broken, and give strength to that which was ill: but the fat and the strong I will give up to destruction; I will give them for their food the punishment which is theirs by right.","“I will seek that which was lost, and will bring back that which was driven away, and will bind up that which was broken, and will strengthen that which was sick; but I will destroy the fat and the strong. I will feed them in justice.”’",
Ezek 47:12,Ezek47:12,"And by the edge of the river, on this side and on that, will come up every tree used for food, whose leaves will ever be green and its fruit will not come to an end: it will have new fruit every month, because its waters come out from the holy place: the fruit will be for food and the leaf will make well those who are ill.","By the river on its bank, on this side and on that side, will grow every tree for food, whose leaf won’t wither, neither will its fruit fail. It will produce new fruit every month, because its waters issue out of the sanctuary. Its fruit will be for food, and its leaf for healing.”",
Hos 5:13,Hos5:13,"When Ephraim saw his disease and Judah his wound, then Ephraim went to Assyria and sent to the great king; but he is not able to make you well or give you help for your wound.","“When Ephraim saw his sickness,
and Judah his wound,
Then Ephraim went to Assyria,
and sent to king Jareb:
but he is not able to heal you,
neither will he cure you of your wound.",
Hos 6:1,Hos6:1,"Come, let us go back to the Lord; for he has given us wounds and he will make us well; he has given blows and he will give help.","“Come, and let us return to Yahweh;
for he has torn us to pieces,
and he will heal us;
he has injured us,
and he will bind up our wounds.",
Hos 7:1,Hos7:1,"When my desire was for the fate of my people to be changed and to make Israel well, then the sin of Ephraim was made clear, and the evil-doing of Samaria; for their ways are false, and the thief comes into the house, while the band of outlaws takes property by force in the streets.","When I would heal Israel,
then the iniquity of Ephraim is uncovered,
also the wickedness of Samaria;
for they commit falsehood,
and the thief enters in,
and the gang of robbers ravages outside.",
Nah 3:19,Nah3:19,Your pain may not be made better; you are wounded to death: all those hearing the news about you will be waving their hands in joy over you: for who has not undergone the weight of your evil-doing again and again?,"There is no healing your wound, for your injury is fatal. All who hear the report of you clap their hands over you; for who hasn’t felt your endless cruelty?",
Zech 11:16,Zech11:16,"For see, I will put a sheep-keeper over the land, who will have no care for that which is cut off, and will not go in search of the wanderers, or make well what is broken, and he will not give food to that which is ill, but he will take for his food the flesh of the fat, and let their feet be broken.","For, behold, I will raise up a shepherd in the land, who will not visit those who are cut off, neither will seek those who are scattered, nor heal that which is broken, nor feed that which is sound; but he will eat the meat of the fat sheep, and will tear their hoofs in pieces.",
Mal 4:2,Mal4:2,"But to you who give worship to my name, the sun of righteousness will come up with new life in its wings; and you will go out, playing like young oxen full of food.","But to you who fear my name shall the sun of righteousness arise with healing in its wings. You will go out, and leap like calves of the stall.",
Matt 4:23,Matt4:23,"And Jesus went about in all Galilee, teaching in their Synagogues and preaching the good news of the kingdom, and making well those who were ill with any disease among the people.","Jesus went about in all Galilee, teaching in their synagogues, preaching the Good News of the Kingdom, and healing every disease and every sickness among the people.","And Jesus was going about all Galilee teaching in their synagogues, and proclaiming the good news of the reign, and healing every disease, and every malady among the people,"
Matt 4:24,Matt4:24,"And news of him went out through all Syria; and they took to him all who were ill with different diseases and pains, those having evil spirits and those who were off their heads, and those who had no power of moving. And he made them well.","The report about him went out into all Syria. They brought to him all who were sick, afflicted with various diseases and torments, possessed with demons, epileptics, and paralytics; and he healed them.","and his fame went forth to all Syria, and they brought to him all having ailments, pressed with manifold sicknesses and pains, and demoniacs, and lunatics, and paralytics, and he healed them."
Matt 8:2,Matt8:2,"And a leper came and gave him worship, saying, Lord, if it is your pleasure, you have power to make me clean.","Behold, a leper came to him and worshiped him, saying, “Lord, if you want to, you can make me clean.”","and lo, a leper having come, was bowing to him, saying, 'Sir, if you are willing, you are able to cleanse me;'"
Matt 8:3,Matt8:3,"And he put his hand on him, saying, It is my pleasure; be clean. And straight away he was made clean.","Jesus stretched out his hand, and touched him, saying,
“I want to. Be made clean.” Immediately his leprosy was cleansed.","and having stretched forth the hand, Jesus touched him, saying, 'I will, be you cleansed,' and immediately his leprosy was cleansed."
Matt 8:7,Matt8:7,"And he said to him, I will come and make him well.","Jesus said to him,
“I will come and heal him.”","and Jesus said to him, 'I, having come, will heal him.'"
Matt 8:8,Matt8:8,"And the captain in answer said, Lord, I am not good enough for you to come under my roof; but only say the word, and my servant will be made well.","The centurion answered, “Lord, I’m not worthy for you to come under my roof. Just say the word, and my servant will be healed.","And the centurion answering said, 'Sir, I am not worthy that you may enter under my roof, but only say a word, and my servant shall be healed;"
