Verse Reference,Bible Gateway Link (Chapter),bbe,web,ylt
Psalm 6:4,Psalm6:4,"Come back, O Lord, make my soul free; O give me salvation because of your mercy.","Return, Yahweh. Deliver my soul,
and save me for your loving kindness’ sake.",
Psalm 31:16,Psalm31:16,Let your servant see the light of your face; in your mercy be my saviour.,"Make your face to shine on your servant.
Save me in your loving kindness.",
Psalm 54:1,Psalm54:1,"<To the chief music-maker; on Neginoth. Maschil. Of David. When the Ziphites came and said to Saul, Is not David keeping himself secret among us?> Let your name be my salvation, O God; let my cause be judged by your strength.","Save me, God, by your name.
Vindicate me in your might.",
Psalm 79:9,Psalm79:9,"Give us help, O God of our salvation, for the glory of your name; take us out of danger and give us forgiveness for our sins, because of your name.","Help us, God of our salvation, for the glory of your name.
Deliver us, and forgive our sins, for your name’s sake.",
Jeremiah 17:14,Jeremiah17:14,"Make me well, O Lord, and I will be well; be my saviour, and I will be safe: for you are my hope.","Heal me, O Yahweh, and I will be healed.
Save me, and I will be saved;
for you are my praise.",
1 Chronicles 16:35,1Chronicles16:35,"And say, Be our saviour, O God of our salvation, and let us come back, and give us salvation from the nations, so that we may give honour to your holy name and have glory in your praise.","Say, “Save us, God of our salvation!
Gather us together and deliver us from the nations,
to give thanks to your holy name,
to triumph in your praise.”",
Psalm 3:7-8,Psalm3:7-8,"Come to me, Lord; keep me safe, O my God; for you have given all my haters blows on their face-bones; the teeth of the evil-doers have been broken by you.Salvation comes from the Lord; your blessing is on your people. (Selah.)","Arise, Yahweh!
Save me, my God!
For you have struck all of my enemies on the cheek bone.
You have broken the teeth of the wicked.
Salvation belongs to Yahweh.
Your blessing be on your people.
Selah.",
Psalm 7:1,Psalm7:1,"<Shiggaion of David; a song which he made to the Lord, about the words of Cush the Benjamite.> O Lord my God, I put my faith in you; take me out of the hands of him who is cruel to me, and make me free;","Yahweh, my God, I take refuge in you.
Save me from all those who pursue me, and deliver me,",
Psalm 12:1,Psalm12:1,"<For the chief music-maker on the Sheminith. A Psalm. Of David.> Send help, Lord, for mercy has come to an end; there is no more faith among the children of men.","Help, Yahweh; for the godly man ceases.
For the faithful fail from among the children of men.",
Psalm 17:7,Psalm17:7,"Make clear the wonder of your mercy, O saviour of those who put their faith in your right hand, from those who come out against them.","Show your marvelous loving kindness,
you who save those who take refuge by your right hand from their enemies.",
Psalm 20:9,Psalm20:9,"Come to our help, Lord: let the king give ear to our cry.","Save, Yahweh!
Let the King answer us when we call!",
Psalm 22:21,Psalm22:21,Be my saviour from the lion's mouth; let me go free from the horns of the cruel oxen.,"Save me from the lion’s mouth!
Yes, from the horns of the wild oxen, you have answered me.",
Psalm 31:2,Psalm31:2,"Let your ear be turned to me; take me quickly out of danger; be my strong Rock, my place of strength where I may be safe.","Bow down your ear to me.
Deliver me speedily.
Be to me a strong rock,
a house of defense to save me.",
Psalm 35:3,Psalm35:3,"Take up your spear and keep back my attackers; say to my soul, I am your salvation.","Brandish the spear and block those who pursue me.
Tell my soul, “I am your salvation.”",
Psalm 38:22,Psalm38:22,"Come quickly to give me help, O Lord, my salvation.","Hurry to help me,
Lord, my salvation.",
Psalm 40:13-17,Psalm40:13-17,"Be pleased, O Lord, to take me out of danger; O Lord, come quickly and give me help.Let those who go after my soul for its destruction have shame and trouble together; let them be turned back and made foolish who take pleasure in my trouble.Let those who say to me, Aha, aha! be surprised because of their shame.Let all those who are looking for you be glad and have joy in you; let the lovers of your salvation ever say, May the Lord be great.Though I am poor and in need, the Lord has me in mind; you are my help and my saviour; let there be no waiting, O my God.","Be pleased, Yahweh, to deliver me.
Hurry to help me, Yahweh.
Let them be disappointed and confounded together who seek after my soul to destroy it.
Let them be turned backward and brought to dishonor who delight in my hurt.
Let them be desolate by reason of their shame that tell me, “Aha! Aha!”
Let all those who seek you rejoice and be glad in you.
Let such as love your salvation say continually, “Let Yahweh be exalted!”
But I am poor and needy.
May the Lord think about me.
You are my help and my deliverer.
Don’t delay, my God.",
Psalm 57:3,Psalm57:3,"He will send from heaven, and take me from the power of him whose desire is for my destruction. God will send out his mercy and his good faith.","He will send from heaven, and save me,
he rebukes the one who is pursuing me.
Selah.
God will send out his loving kindness and his truth.",
Psalm 59:1,Psalm59:1,"<To the chief music-maker; put to At-tashheth. Michtam. Of David. When Saul sent, and they were watching the house, to put him to death.> Take me out of the hands of the cruel ones, O my God; keep me safe from those who come up against me.","Deliver me from my enemies, my God.
Set me on high from those who rise up against me.",
Psalm 60:5,Psalm60:5,"So that your loved ones may be made safe, let your right hand be my salvation, and give me an answer.","So that your beloved may be delivered,
save with your right hand, and answer us.",
Psalm 69:1,Psalm69:1,"<To the chief music-maker; put to Shoshannim. Of David.> Be my saviour, O God; because the waters have come in, even to my neck.","Save me, God,
for the waters have come up to my neck!",
Psalm 70:1,Psalm70:1,"<To the chief music-maker. Of David. To keep in memory.> Let your salvation come quickly, O God; come quickly to my help, O Lord.","Hurry, God, to deliver me.
Come quickly to help me, Yahweh.",
Psalm 71:2,Psalm71:2,"Keep me safe in your righteousness, and come to my help; give ear to my voice, and be my saviour.","Deliver me in your righteousness, and rescue me.
Turn your ear to me, and save me.",
Psalm 86:2,Psalm86:2,"Keep my soul, for I am true to you; O my God, give salvation to your servant, whose hope is in you.","Preserve my soul, for I am godly.
You, my God, save your servant who trusts in you.",
Psalm 109:26,Psalm109:26,"Give me help, O Lord my God; in your mercy be my saviour;","Help me, Yahweh, my God.
Save me according to your loving kindness;",
Psalm 119:94,Psalm119:94,"I am yours, O be my saviour; for my desire has been for your rules.","I am yours.
Save me, for I have sought your precepts.",
Psalm 119:146,Psalm119:146,"My cry has gone up to you; take me out of trouble, and I will be guided by your unchanging word.","I have called to you. Save me!
I will obey your statutes.",
Isaiah 33:22,Isaiah33:22,"For the Lord is our judge, the Lord is our law-giver, the Lord is our king; he will be our saviour.","For Yahweh is our judge.
Yahweh is our lawgiver.
Yahweh is our king.
He will save us.",
Jeremiah 31:7,Jeremiah31:7,"For the Lord has said, Make a glad song for Jacob and give a cry on the top of the mountains: give the news, give praise, and say, The Lord has given salvation to his people, even to the rest of Israel.","For Yahweh says,
“Sing with gladness for Jacob,
and shout for the chief of the nations.
Publish, praise, and say,
‘Yahweh, save your people,
the remnant of Israel!’",
Exodus 14:13,Exodus14:13,"But Moses said, Keep where you are and have no fear; now you will see the salvation of the Lord which he will give you today; for the Egyptians whom you see today you will never see again.","Moses said to the people, “Don’t be afraid. Stand still, and see the salvation of Yahweh, which he will work for you today: for the Egyptians whom you have seen today, you shall never see them again.",
Exodus 15:2,Exodus15:2,"The Lord is my strength and my strong helper, he has become my salvation: he is my God and I will give him praise; my father's God and I will give him glory.","Yah is my strength and song.
He has become my salvation.
This is my God, and I will praise him;
my father’s God, and I will exalt him.",
Deuteronomy 33:29,Deuteronomy33:29,"Happy are you, O Israel: who is like you, a people whose saviour is the Lord, whose help is your cover, whose sword is your strength! All those who are against you will put themselves under your rule, and your feet will be planted on their high places.","You are happy, Israel!
Who is like you, a people saved by Yahweh,
the shield of your help,
the sword of your excellency?
Your enemies will submit themselves to you.
You will tread on their high places.”",
1 Samuel 2:1-10,1Samuel 2:1-10,"And Hannah, in prayer before the Lord, said, My heart is glad in the Lord, my horn is lifted up in the Lord: my mouth is open wide over my haters; because my joy is in your salvation.No other is holy as the Lord, for there is no other God but you: there is no Rock like our God.Say no more words of pride; let not uncontrolled sayings come out of your mouths: for the Lord is a God of knowledge, by him acts are judged.The bows of the men of war are broken, and the feeble are clothed with strength.Those who were full are offering themselves as servants for bread; those who were in need are at rest; truly, she who had no children has become the mother of seven; and she who had a family is wasted with sorrow.The Lord is the giver of death and life: sending men down to the underworld and lifting them up.The Lord gives wealth and takes a man's goods from him: crushing men down and again lifting them up;Lifting the poor out of the dust, and him who is in need out of the lowest place, to give them their place among rulers, and for their heritage the seat of glory: for the pillars of the earth are the Lord's and he has made them the base of the world.He will keep the feet of his holy ones, but the evil-doers will come to their end in the dark night, for by strength no man will overcome.Those who make war against the Lord will be broken; against them he will send his thunder from heaven: the Lord will be judge of the ends of the earth, he will give strength to his king, lifting up the horn of him on whom the holy oil has been put.","Hannah prayed, and said:
“My heart exults in Yahweh!
My horn is exalted in Yahweh.
My mouth is enlarged over my enemies,
because I rejoice in your salvation.
There is no one as holy as Yahweh,
For there is no one besides you,
nor is there any rock like our God.
“Don’t keep talking so exceedingly proudly.
Don’t let arrogance come out of your mouth,
For Yahweh is a God of knowledge.
By him actions are weighed.
“The bows of the mighty men are broken.
Those who stumbled are armed with strength.
Those who were full have hired themselves out for bread.
Those who were hungry are satisfied.
Yes, the barren has borne seven.
She who has many children languishes.
“Yahweh kills, and makes alive.
He brings down to Sheol, and brings up.
Yahweh makes poor, and makes rich.
He brings low, he also lifts up.
He raises up the poor out of the dust.
He lifts up the needy from the dunghill,
To make them sit with princes,
and inherit the throne of glory.
For the pillars of the earth are Yahweh’s.
He has set the world on them.
He will keep the feet of his holy ones,
but the wicked shall be put to silence in darkness;
for no man shall prevail by strength.
Those who strive with Yahweh shall be broken to pieces.
He will thunder against them in the sky.
“Yahweh will judge the ends of the earth.
He will give strength to his king,
and exalt the horn of his anointed.”",
