Genesis 3:15
Psalm 8:4–6
Psalm 18:17
Psalm 34:7
Psalm 35:1–6
Psalm 91:1–16
Psalm 97:10
Psalm 103:20–21
Psalm 110:1–2
Psalm 149:6–9
Isaiah 9:1–7
Isaiah 11:1–9
Isaiah 35:3–6
Isaiah 42:1–9
Isaiah 49:24–26
Isaiah 53:1–12
Isaiah 61:1–3
Job 1:6–12
Job 2:1–7
Zechariah 3:1–2
Daniel 7:9–14
Daniel 7:27
Daniel 10:10–21
Daniel 12:1
Matthew 4:23–24
Matthew 7:29
Matthew 8:16
Matthew 8:28–34
Matthew 9:32–33
Matthew 10:1
Matthew 11:5
Matthew 12:22
Matthew 12:28–29
Matthew 15:21–28
Matthew 17:14–21
Mark 1:23–27
Mark 1:32–34
Mark 1:39
Mark 3:11–12
Mark 3:14–15
Mark 5:1–20
Mark 6:7
Mark 7:24–30
Mark 9:17–29
Mark 16:17–18
Luke 4:33–36
Luke 4:40–41
Luke 7:21
Luke 8:26–39
Luke 9:1–2
Luke 9:37–43
Luke 10:17–19
Luke 11:14–22
Luke 13:11–16
Matthew 28:18
Matthew 12:28
Mark 1:27
Luke 4:36
Luke 10:18
John 1:1–5
John 1:14
John 3:17–21
John 8:12
John 8:36
John 10:10
John 12:31
John 14:30
John 16:11
Matthew 4:23
Matthew 8:2–3
Matthew 8:5–13
Matthew 8:14–15
Matthew 9:18–26
Matthew 9:27–35
Matthew 12:13
Matthew 14:14
Matthew 15:30–31
Mark 1:29–34
Mark 2:1–12
Mark 3:1–5
Mark 5:21–43
Mark 6:56
Mark 7:31–37
Mark 8:22–25
Luke 4:38–40
Luke 5:17–26
Luke 6:17–19
Luke 7:11–17
Luke 8:43–48
Luke 17:11–19
Acts 2:33
Acts 3:6–16
Acts 4:7–12
Acts 5:12–16
Acts 5:19
Acts 5:29–32
Acts 6:8
Acts 8:6–8
Acts 8:18–24
Acts 9:32–42
Acts 10:38
Acts 12:5–11
Acts 13:6–12
Acts 14:8–10
Acts 16:16–18
Acts 19:11–20
Acts 20:32
Romans 5:17
Romans 6:1–14
Romans 8:1–4
Romans 8:31–39
Romans 16:20
1 Corinthians 2:6–8
1 Corinthians 6:3
1 Corinthians 15:24–28
2 Corinthians 2:14
2 Corinthians 4:4–6
2 Corinthians 10:3–5
Ephesians 1:18–23
Ephesians 2:4–6
Ephesians 3:10
Ephesians 3:16–21
Ephesians 6:10–18
Philippians 2:9–11
Colossians 1:9–20
Colossians 2:9–15
Colossians 3:1–4
1 Thessalonians 5:8
2 Thessalonians 3:3
2 Timothy 1:7
2 Timothy 2:26
Hebrews 2:14–15
Hebrews 4:14–16
Hebrews 7:24–26
Hebrews 12:1–4
James 4:7
1 Peter 5:8–10
1 John 2:13–14
1 John 3:8
1 John 4:4
1 John 5:4–5
1 John 5:18
Revelation 1:5–6
Revelation 1:17–18
Revelation 2:7
Revelation 2:26–27
Revelation 3:21
Revelation 5:5–14
Revelation 11:15
Revelation 12:7–11
Revelation 14:14–16
Revelation 17:14
Revelation 19:11–16
Revelation 20:1–3
Revelation 20:10
Revelation 21:3–7
Revelation 22:12–13
