StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
H1;אָב;ʼâb;father," in a literal and immediate"," or figurative and remote application;apa"," szó szerint és közvetlenül"," vagy átvitt értelemben távoli alkalmazásban."
H2;אַב;ʼab;{father}
H3;אֵב;ʼêb;a green plant,zöld növény
H4;אֵב;ʼêb;{a green plant};zöld növény," sarjadás"," fű."
H5;אֲבַגְתָא;ʼĂbagthâʼ;Abagtha," a eunuch of Xerxes;Abagta"," Xerxész eunuchja."
H6;אָבַד;ʼâbad;properly," to wander away"," i.e. lose oneself"," by implication to perish (causative"," destroy);elveszni"," tönkre menni"," elpusztítani."
H7;אֲבַד;ʼăbad;{properly," to wander away"," i.e. lose oneself"," by implication to perish (causative"," destroy)};elveszni"," tönkre menni"," elpusztítani (átvitt értelemben is)"
H8;אֹבֵד;ʼôbêd;(concrete) wretched or (abstract) destruction;elvégezett," elveszett"," pusztulás"," romlás."
H9;אֲבֵדָה;ʼăbêdâh;concrete," something lost"," abstract"," destruction"," i.e. Hades;veszett dolog"," elveszett"," pusztulás"," a kárhozat helye"," a mély szakadék."
H10;אֲבַדֹּה;ʼăbaddôh;a perishing;elpusztulás," veszedelem"," romlás."
H11;אֲבַדּוֹן;ʼăbaddôwn;abstract," a perishing"," concrete"," Hades;pusztulás"," a veszedelem helye"," a mély szakadék"," a halottak világa."
H12;אַבְדָן;ʼabdân;a perishing;veszedelem," elveszés"," pusztulás"
H13;אׇבְדַן;ʼobdan;a perishing;veszedelem," elveszés"," romlás"
H14;אָבָה;ʼâbâh;to breathe after," i.e. (figuratively) to be acquiescent;szívvel fogadni"," beleegyezni"," jóváhagyni"
H15;אָבֶה;ʼâbeh;longing;vágyakozás," sóvárgás"
H16;אֵבֶה;ʼêbeh;the papyrus;papirospapír
H17;אֲבוֹי;ʼăbôwy;want;hiány," szükség"," kívánság."
H18;אֵבוּס;ʼêbûwç;a manger or stall;jászol," etetőállás"," szénkút."
H19;אִבְחָה;ʼibchâh;brandishing of a sword;kardcsapás," kardvillantás"," karddal fenyegetés."
H20;אֲבַטִּיחַ;ʼăbaṭṭîyach;a melon (only plural);görögdinnye (csak többes számban)
H21;אֲבִי;ʼĂbîy;Abi," Hezekiah's mother;Abí"," Ezekiás anyja."
H22;אֲבִיאֵל;ʼĂbîyʼêl;Abiel," the name of two Israelites;Abiel"," két izraelita neve."
H23;אֲבִיאָסָף;ʼĂbîyʼâçâph;Abiasaph," an Israelite;Abiasáf"," egy Izraelita."
H24;אָבִיב;ʼâbîyb;green," i.e. a young ear of grain"," hence"," the name of the month Abib or Nisan;zöld"," azaz a gabona ifja"," innen az ábisz (niszán) hónap neve."
H25;אֲבִי גִבְעוֹן;ʼĂbîy Gibʻôwn;Abi-Gibon," perhaps an Israelite;Abi-Gibon"," talán egy Izraelita."
H26;אֲבִיגַיִל;ʼĂbîygayil;Abigail or Abigal," the name of two Israelitesses;Abigál"," vagy Abigál"," két izraelita asszony neve."
H27;אֲבִידָן;ʼĂbîydân;Abidan," an Israelite;Abidán"," egy Izraelita."
H28;אֲבִידָע;ʼĂbîydâʻ;Abida," a son of Abraham by Keturah;Abidá"," Ábrahám fia Keturától."
H29;אֲבִיָּה;ʼĂbîyâh;Abijah," the name of several Israelite men and two Israelitesses;Abijá"," több izraelita férfi és két izraelita nő neve."
H30;אֲבִיהוּא;ʼĂbîyhûwʼ;Abihu," a son of Aaron;Áron fia."
H31;אֲבִיהוּד;ʼĂbîyhûwd;Abihud," the name of two Israelites;Abihúd"," két izraelita neve."
H32;אֲבִיהַיִל;ʼĂbîyhayil;Abihail or Abichail," the name of three Israelites and two Israelitesses;Abihail"," vagy Abichail"," három izraelita és két izraelita nő neve."
H33;אֲבִי הָעֶזְרִי;ʼĂbîy hâ-ʻEzrîy;an Abiezrite or descendant of Abiezer;Abiezér fia," vagy Abiezér utóda."
H34;אֶבְיוֹן;ʼebyôwn;destitute;szegény," elszegényedett"," nyomorult"," rászorult."
H35;אֲבִיּוֹנָה;ʼăbîyôwnâh;provocative of desire," the caper berry (from its stimulative taste);vágyat ébresztő"," a kapribogyó (serkentő íze miatt)"
H36;אֲבִיטוּב;ʼĂbîyṭûwb;Abitub," an Israelite;Abítub"," egy Izraelita."
H37;אֲבִיטָל;ʼĂbîyṭâl;Abital," a wife of King David;Abital"," Dávid királynak egyik felesége."
H38;אֲבִיָּם;ʼĂbîyâm;Abijam (or Abijah)," a king of Judah;Abijám"," Júda egyik királya."
H39;אֲבִימָאֵל;ʼĂbîymâʼêl;Abimael," a son of Joktan;Abimelek"," Joktan fia."
H40;אֲבִימֶלֶךְ;ʼĂbîymelek;Abimelek," the name of two Philistine kings and of two Israelites;Abimelek"," két filiszteus király és két izraelita neve."
H41;אֲבִינָדָב;ʼĂbîynâdâb;Abinadab," the name of four Israelites;Abinádáb"," négy izraelita neve."
H42;אֲבִינֹעַם;ʼĂbîynôʻam;Abinoam," an Israelite;Abinóám"," egy Izraelita."
H43;אֶבְיָסָף;ʼEbyâçâph;Ebjasaph," an Israelite;Ebjasáf"," egy Izraelita."
H44;אֲבִיעֶזֶר;ʼĂbîyʻezer;Abiezer," the name of two Israelites;Abiezer"," két izraelita neve."
H45;אֲבִי־עַלְבוֹן;ʼĂbîy-ʻalbôwn;Abialbon," an Israelite;Abialbon"," egy Izraelita."
H46;אָבִיר;ʼâbîyr;mighty (spoken of God);erős," hatalmas (Istenről szólva)"
H47;אַבִּיר;ʼabbîyr;{mighty (spoken of God)};erős," hatalmas (Istenről szólva)"
H48;אֲבִירָם;ʼĂbîyrâm;Abiram," the name of two Israelites;Abirám"," két izraelita neve."
H49;אֲבִישַׁג;ʼĂbîyshag;Abishag," a concubine of David;Abiság"," Dávidnak egy ágyasa."
H50;אֲבִישׁוּעַ;ʼĂbîyshûwaʻ;Abishua," the name of two Israelites;Abisua"," két izraelita neve."
H51;אֲבִישׁוּר;ʼĂbîyshûwr;Abishur," an Israelite;Abisúr"," egy Izraelita."
H52;אֲבִישַׁי;ʼĂbîyshay;Abishai," an Israelite;Abisaj"," egy Izraelita."
H53;אֲבִישָׁלוֹם;ʼĂbîyshâlôwm;Abshalom," a son of David"," also (the fuller form) a later Israelite;Abisalom"," Dávid fia"," továbbá (a teljesebb alakban) egy későbbi izraelita."
H54;אֶבְיָתָר;ʼEbyâthâr;Ebjathar," an Israelite;Ebjátár"," egy Izraelita."
H55;אָבַךְ;ʼâbak;probably to coil upward;valószínűleg tekeredni," feltekeredni"
H56;אָבַל;ʼâbal;to bewail;gyászol," sír"," kesereg"
H57;אָבֵל;ʼâbêl;lamenting;gyászoló," síró"," kesergő"
H58;אָבֵל;ʼâbêl;a meadow;legelő," rétség"
H59;אָבֵל;ʼÂbêl;Abel," the name of two places in Palestine.;Ábel"," két palesztinai hely neve."
H60;אֵבֶל;ʼêbel;lamentation;gyász," siratás"," panaszolás."
H61;אֲבָל;ʼăbâl;nay," i.e. truly or yet;de"," azaz igazán vagy mégis"
H62;אָבֵל בֵּית־מֲעַכָה;ʼÂbêl Bêyth-Măʻakâh;Abel of Beth-maakah," a place in Palestine;Ábel"," a Beth-Maakah helysége Palesztinában."
H63;אָבֵל הַשִּׁטִּים;ʼÂbêl hash-Shiṭṭîym;Abel hash-Shittim," a place in Palestine;Ábel-has-Sittim"," egy hely Palesztinában."
H64;אָבֵל כְּרָמִים;ʼÂbêl Kᵉrâmîym;Abel-Keramim," a place in Palestine;Ábel-Kerámim"," egy hely Palesztinában."
H65;אָבֵל מְחוֹלָה;ʼÂbêl Mᵉchôwlâh;Abel-Mecholah," a place in Palestine;Ábel-Mechola"," egy hely Palesztinában."
H66;אַבֵל מַיִם;ʼAbêl Mayim;Abel-Majim," a place in Palestine;Abel-Majim"," egy hely Palesztinában."
H67;אָבֵל מִצְרַיִם;ʼÂbêl Mitsrayim;Abel-Mitsrajim," a place in Palestine;Abel-Mizráim"," egy hely Palesztinában."
H68;אֶבֶן;ʼeben;a stone;kő
H69;אֶבֶן;ʼeben;{a stone};kő
H70;אֹבֶן;ʼôben;a pair of stones (only dual)," a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between);két kő"," kőpár"," mészároskövek"," szülészeszköz (két vízszintes kőkorongból álló szerkezet)"
H71;אֲבָנָה;ʼĂbânâh;Abanah," a river near Damascus;Abaná"," egy folyó Damaszkusz közelében."
H72;אֶבֶן הָעֵזֶר;ʼEben hâ-ʻÊzer;Eben-ha-Ezer," a place in Palestine;Eben-Haézer"," egy hely Palesztinában."
H73;אַבְנֵט;ʼabnêṭ;a belt;öv
H74;אַבְנֵר;ʼAbnêr;Abner," an Israelite;Abner"," egy Izraelita."
H75;אָבַס;ʼâbaç;to fodder;takarmányozni," etetni (állatot)"
H76;אֲבַעְבֻּעָה;ʼăbaʻbuʻâh;an inflammatory pustule (as eruption);gyulladásos kelés," pattanás"," gennyes hólyag"
H77;אֶבֶץ;ʼEbets;Ebets," a place in Palestine;Ebec"," egy hely Palesztinában."
H78;אִבְצָן;ʼIbtsân;Ibtsan," an Israelite;Ibcsán"," egy Izraelita."
H79;אָבַק;ʼâbaq;to bedust," i.e. grapple;porba borítani"," birkózni"
H80;אָבָק;ʼâbâq;light particles (as volatile);por," finom por"," lebegő por"," illékony részecske"
H81;אֲבָקָה;ʼăbâqâh;{light particles (as volatile)};por," finom por"," lebegő por"," szemcsés por"
H82;אָבַר;ʼâbar;to soar;szárnyal," magasra emelkedik"," repülni"
