StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
H6142;עִקֵּשׁ;ʻIqqêsh;"Ikkesh, an Israelite";
H6143;עִקְּשׁוּת;ʻiqqᵉshûwth;"perversity";
H6144;עָר;ʻÂr;"Ar, a place in Moab";
H6145;עָר;ʻâr;"a foe (as watchful for mischief)";
H6146;עָר;ʻâr;"{a foe (as watchful for mischief)}";
H6147;עֵר;ʻÊr;"Er, the name of two Israelites";
H6148;עָרַב;ʻârab;"to braid, i.e. intermix, technically, to traffic (as if by barter), also or give to be security (as a kind of exchange)";
H6149;עָרֵב;ʻârêb;"to be agreeable";
H6150;עָרַב;ʻârab;"to grow dusky at sundown";
H6151;עֲרַב;ʻărab;"to commingle";
H6152;עֲרָב;ʻĂrâb;"Arab (i.e. Arabia), a country East of Palestine";
H6153;עֶרֶב;ʻereb;"dusk";
H6154;עֵרֶב;ʻêreb;"the web (or transverse threads of cloth), also a mixture, (or mongrel race)";
H6155;עָרָב;ʻârâb;"a willow (from the use of osiers as wattles)";
H6156;עָרֵב;ʻârêb;"pleasant";
H6157;עָרֹב;ʻârôb;"a mosquito (from its swarming)";
H6158;עֹרֵב;ʻôrêb;"a raven (from its dusky hue)";
H6159;עֹרֵב;ʻÔrêb;"Oreb, the name of a Midianite and of the cliff near the Jordan";
H6160;עֲרָבָה;ʻărâbâh;"a desert, especially (with the article prefix) the (generally) sterile valley of the Jordan and its continuation to the Red Sea";
H6161;עֲרֻבָּה;ʻărubbâh;"something given as security, i.e. (literally) a token (of safety) or (metaphorically) a bondsman";
H6162;עֲרָבוֹן;ʻărâbôwn;"a pawn (given as security)";
H6163;עֲרָבִי;ʻĂrâbîy;"an Arabian or inhabitant of Arab (i.e. Arabia)";
H6164;עַרְבָתִי;ʻArbâthîy;"an Arbathite or inhabitant of (Beth-) Arabah";
H6165;עָרַג;ʻârag;"to long for";
H6166;עֲרָד;ʻĂrâd;"Arad, the name of a place near Palestine, also of a Canaanite and an Israelite";
H6167;עֲרָד;ʻărâd;"an onager";
H6168;עָרָה;ʻârâh;"to be (causatively, make) bare, hence, to empty, pour out, demolish";
H6169;עָרָה;ʻârâh;"a naked (i.e. level) plot";
H6170;עֲרוּגָה;ʻărûwgâh;"something piled up (as if (figuratively) raised by mental aspiration), i.e. a paterre";
H6171;עָרוֹד;ʻârôwd;"an onager (from his lonesome habits)";
H6172;עֶרְוָה;ʻervâh;"nudity, literally (especially the pudenda) or figuratively (disgrace, blemish)";
H6173;עַרְוָה;ʻarvâh;"nakedness, i.e. (figuratively) impoverishment";
H6174;עָרוֹם;ʻârôwm;"nude, either partially or totally";
H6175;עָרוּם;ʻârûwm;"cunning (usually in a bad sense)";
H6176;עֲרוֹעֵר;ʻărôwʻêr;"a juniper (from its nudity of situation)";
H6177;עֲרוֹעֵר;ʻĂrôwʻêr;"Aroer, the name of three places in or near Palestine";
H6178;עָרוּץ;ʻârûwts;"feared, i.e. (concretely) a horrible place or chasm";
H6179;עֵרִי;ʻÊrîy;"Eri, an Israelite";
H6180;עֵרִי;ʻÊrîy;"a Erite (collectively) or descendants of Eri";
H6181;עֶרְיָה;ʻeryâh;"nudity";
H6182;עֲרִיסָה;ʻărîyçâh;"meal";
H6183;עָרִיף;ʻârîyph;"the sky (as dropping at the horizon)";
H6184;עָרִיץ;ʻârîyts;"fearful, i.e. powerful or tyrannical";
H6185;עֲרִירִי;ʻărîyrîy;"bare, i.e. destitute (of children)";
H6186;עָרַךְ;ʻârak;"to set in a row, i.e. arrange, put in order (in a very wide variety of applications)";
H6187;עֵרֶךְ;ʻêrek;"a pile, equipment, estimate";
H6188;עָרֵל;ʻârêl;"to expose or remove the prepuce, whether literal (to go naked) or figurative (to refrain from using)";
H6189;עָרֵל;ʻârêl;"uncircumcised (i.e. still having the prepuce uncurtailed)";
H6190;עׇרְלָה;ʻorlâh;"the prepuce";
H6191;עָרַם;ʻâram;"properly, to be (or make) bare, but used only in the derivative sense (through the idea perhaps of smoothness) to be cunning (usually in a bad sense)";
H6192;עָרַם;ʻâram;"to pile up";
H6193;עֹרֶם;ʻôrem;"a stratagem";
H6194;עָרֵם;ʻârêm;"a heap, specifically, a sheaf";
H6195;עׇרְמָה;ʻormâh;"trickery, or (in a good sense) discretion";
H6196;עַרְמוֹן;ʻarmôwn;"the plane tree (from its smooth and shed bark)";
H6197;עֵרָן;ʻÊrân;"Eran, an Israelite";
H6198;עֵרָנִי;ʻÊrânîy;"an Eranite or descendant (collectively) of Eran";
H6199;עַרעָר;ʻarʻâr;"naked, i.e. (figuratively) poor";
H6200;עֲרֹעֵרִי;ʻĂrôʻêrîy;"an Aroerite or inhabitant of Aroer";
H6201;עָרַף;ʻâraph;"to droop, hence, to drip";
H6202;עָרַף;ʻâraph;"to break the neck, hence (figuratively) to destroy";
H6203;עֹרֶף;ʻôreph;"the nape or back of the neck (as declining), hence, the back generally (whether literal or figurative)";
H6204;עׇרְפָּה;ʻOrpâh;"Orpah, a Moabites";
H6205;עֲרָפֶל;ʻărâphel;"gloom (as of a lowering sky)";
H6206;עָרַץ;ʻârats;"to awe or (intransitive) to dread, hence, to harass";
H6207;עָרַק;ʻâraq;"to gnaw, i.e. (figuratively) eat (by hyberbole), also (participle) a pain";
H6208;עַרְקִי;ʻArqîy;"an Arkite or inhabitant of Erek";
H6209;עָרַר;ʻârar;"to bare, figuratively, to demolish";
H6210;עֶרֶשׂ;ʻeres;"a couch (properly, with a canopy)";
H6211;עָשׁ;ʻâsh;"a moth";
H6212;עֶשֶׂב;ʻeseb;"grass (or any tender shoot)";
H6213;עָשָׂה;ʻâsâh;"to do or make, in the broadest sense and widest application";
H6214;עֲשָׂהאֵל;ʻĂsâhʼêl;"Asahel, the name of four Israelites";
H6215;עֵשָׂו;ʻÊsâv;"Esav, a son of Isaac, including his posterity";
H6216;עָשׁוֹק;ʻâshôwq;"oppressive (as noun, a tyrant)";
H6217;עָשׁוּק;ʻâshûwq;"used in plural masculine as abstractly, tyranny";
H6218;עָשׂוֹר;ʻâsôwr;"ten, by abbreviated form ten strings, and so a decachord";
H6219;עָשׁוֹת;ʻâshôwth;"shining, i.e. polished";
H6220;עַשְׁוָת;ʻAshvâth;"Ashvath, an Israelite";
H6221;עֲשִׂיאֵל;ʻĂsîyʼêl;"Asiel, an Israelite";
H6222;עֲשָׂיָה;ʻĂsâyâh;"Asajah, the name of three or four Israelites";
H6223;עָשִׁיר;ʻâshîyr;"rich, whether literal or figurative (noble)";
H6224;עֲשִׂירִי;ʻăsîyrîy;"tenth, by abbreviation, tenth month or (feminine) part";
H6225;עָשַׁן;ʻâshan;"to smoke, whether literal or figurative";
H6226;עָשֵׁן;ʻâshên;"smoky";
H6227;עָשָׁן;ʻâshân;"smoke, literally or figuratively (vapor, dust, anger)";
H6228;עָשָׁן;ʻÂshân;"Ashan, a place in Palestine";
H6229;עָשַׂק;ʻâsaq;"to press upon, i.e. quarrel";
H6230;עֵשֶׂק;ʻêseq;"strife";
H6231;עָשַׁק;ʻâshaq;"to press upon, i.e. oppress, defraud, violate, overflow";
H6232;עֵשֶׁק;ʻÊsheq;"Eshek, an Israelite";
H6233;עֹשֶׁק;ʻôsheq;"injury, fraud, (subjectively) distress, (concretely) unjust gain";
H6234;עׇשְׁקָה;ʻoshqâh;"anguish";
H6235;עֶשֶׂר;ʻeser;"ten (as an accumulation to the extent of the digits)";
H6236;עֲשַׂר;ʻăsar;"ten";
H6237;עָשַׂר;ʻâsar;"to tithe, i.e. to take or give atenth";
H6238;עָשַׁר;ʻâshar;"properly, to accumulate, chiefly (specifically) to grow (causatively, make) rich";
H6239;עֹשֶׁר;ʻôsher;"wealth";
H6240;עָשָׂר;ʻâsâr;"ten (only in combination), i.e. -teen, also (ordinal) -teenth";
H6241;עִשָּׂרוֹן;ʻissârôwn;"(fractional) a tenth part";
H6242;עֶשְׂרִים;ʻesrîym;"twenty, also (ordinal) twentieth";
H6243;עֶשְׂרִין;ʻesrîyn;"{twenty, also (ordinal) twentieth}";
H6244;עָשֵׁשׁ;ʻâshêsh;"probably to shrink, i.e. fail";
H6245;עָשַׁת;ʻâshath;"probably to be sleek, i.e. glossy, hence (through the idea of polishing) to excogitate (as if forming in the mind)";
H6246;עֲשִׁת;ʻăshith;"to purpose";
H6247;עֶשֶׁת;ʻesheth;"a fabric";
H6248;עַשְׁתּוּת;ʻashtûwth;"cogitation";
H6249;עַשְׁתֵּי;ʻashtêy;"eleven or (ordinal) eleventh";
H6250;עֶשְׁתֹּנָה;ʻeshtônâh;"thinking";
H6251;עַשְׁתְּרָה;ʻashtᵉrâh;"increase";
H6252;עַשְׁתָּרוֹת;ʻAshtârôwth;"Ashtaroth, the name of a Sidonian deity, and of a place East of the Jordan";
H6253;עַשְׁתֹּרֶת;ʻAshtôreth;"Ashtoreth, the Phoenician goddess of love (and increase)";
H6254;עַשְׁתְּרָתִי;ʻAshtᵉrâthîy;"an Ashterathite or inhabitant of Ashtaroth";
H6255;עַשְׁתְּרֹת קַרְנַיִם;ʻAshtᵉrôth Qarnayim;"Ashteroth-Karnaim, a place East of the Jordan";
H6256;עֵת;ʻêth;"time, especially (adverb with preposition) now, when, etc.";
H6257;עָתַד;ʻâthad;"to prepare";
H6258;עַתָּה;ʻattâh;"at this time, whether adverb, conjunction or expletive";
H6259;עָתוּד;ʻâthûwd;"prepared";
H6260;עַתּוּד;ʻattûwd;"prepared, i.e. full grown, spoken only (in plural) of he-goats, or (figuratively) leaders of the people";
H6261;עִתִּי;ʻittîy;"timely";
H6262;עַתַּי;ʻAttay;"Attai, the name of three Israelites";
H6263;עֲתִיד;ʻăthîyd;"prepared";
H6264;עָתִיד;ʻâthîyd;"prepared, by implication, skilful, feminine plural the future, also treasure";
H6265;עֲתָיָה;ʻĂthâyâh;"Athajah, an Israelite";
H6266;עָתִיק;ʻâthîyq;"properly, antique, i.e. venerable or splendid";
H6267;עַתִּיק;ʻattîyq;"removed, i.e. weaned, also antique";
H6268;עַתִּיק;ʻattîyq;"venerable";
H6269;עֲתָךְ;ʻĂthâk;"Athak, a place in Palestine";
H6270;עַתְלַי;ʻAthlay;"Athlai, an Israelite";
H6271;עֲתַלְיָה;ʻĂthalyâh;"Athaljah, the name of an Israelitess and two Israelites";
H6272;עָתַם;ʻâtham;"probably to glow, i.e. (figuratively) be desolated";
H6273;עׇתְנִי;ʻOthnîy;"Othni, an Israelite";
H6274;עׇתְנִיאֵל;ʻOthnîyʼêl;"Othniel, an Israelite";
H6275;עָתַק;ʻâthaq;"to remove (intransitive or transitive) figuratively, to grow old, specifically, to transcribe";
H6276;עָתֵק;ʻâthêq;"antique, i.e. valued";
H6277;עָתָק;ʻâthâq;"impudent";
H6278;עֵת קָצִין;ʻÊth Qâtsîyn;"Eth-Katsin, a place in Palestine";
H6279;עָתַר;ʻâthar;"to burn incense in worship, i.e. intercede (reciprocally, listen to prayer)";
H6280;עָתַר;ʻâthar;"to be (causatively, make) abundant";
H6281;עֶתֶר;ʻEther;"Ether, a place in Palestine";
H6282;עָתָר;ʻâthâr;"incense (as increasing to a volume of smoke), hence  a worshipper";
H6283;עֲתֶרֶת;ʻăthereth;"copiousness";
H6284;פָּאָה;pâʼâh;"to puff, i.e. blow away";
H6285;פֵּאָה;pêʼâh;"properly, mouth in a figurative sense, i.e. direction, region, extremity";
H6286;פָּאַר;pâʼar;"to gleam, i.e. (causatively) embellish, figuratively, to boast, also to explain (i.e. make clear) oneself, to shake a tree";
H6287;פְּאֵר;pᵉʼêr;"an embellishment, i.e. fancy head-dress";
H6288;פְּאֹרָה;pᵉʼôrâh;"properly, ornamentation, i.e. (plural) foliage (including the limbs) as bright green";
H6289;פָּארוּר;pâʼrûwr;"properly, illuminated, i.e. a glow, as noun, a flush (of anxiety)";
