StrongID;OriginalWord;Transliteration;EnglishDefinition;HungarianDefinition
H1;אָב;ʼâb;"father, in a literal and immediate, or figurative and remote application";
H2;אַב;ʼab;"{father}";
H3;אֵב;ʼêb;"a green plant";
H4;אֵב;ʼêb;"{a green plant}";
H5;אֲבַגְתָא;ʼĂbagthâʼ;"Abagtha, a eunuch of Xerxes";
H6;אָבַד;ʼâbad;"properly, to wander away, i.e. lose oneself, by implication to perish (causative, destroy)";
H7;אֲבַד;ʼăbad;"{properly, to wander away, i.e. lose oneself, by implication to perish (causative, destroy)}";
H8;אֹבֵד;ʼôbêd;"(concrete) wretched or (abstract) destruction";
H9;אֲבֵדָה;ʼăbêdâh;"concrete, something lost, abstract, destruction, i.e. Hades";
H10;אֲבַדֹּה;ʼăbaddôh;"a perishing";
H11;אֲבַדּוֹן;ʼăbaddôwn;"abstract, a perishing, concrete, Hades";
H12;אַבְדָן;ʼabdân;"a perishing";
H13;אׇבְדַן;ʼobdan;"a perishing";
H14;אָבָה;ʼâbâh;"to breathe after, i.e. (figuratively) to be acquiescent";
H15;אָבֶה;ʼâbeh;"longing";
H16;אֵבֶה;ʼêbeh;"the papyrus";
H17;אֲבוֹי;ʼăbôwy;"want";
H18;אֵבוּס;ʼêbûwç;"a manger or stall";
H19;אִבְחָה;ʼibchâh;"brandishing of a sword";
H20;אֲבַטִּיחַ;ʼăbaṭṭîyach;"a melon (only plural)";
H21;אֲבִי;ʼĂbîy;"Abi, Hezekiah's mother";
H22;אֲבִיאֵל;ʼĂbîyʼêl;"Abiel, the name of two Israelites";
H23;אֲבִיאָסָף;ʼĂbîyʼâçâph;"Abiasaph, an Israelite";
H24;אָבִיב;ʼâbîyb;"green, i.e. a young ear of grain, hence, the name of the month Abib or Nisan";
H25;אֲבִי גִבְעוֹן;ʼĂbîy Gibʻôwn;"Abi-Gibon, perhaps an Israelite";
H26;אֲבִיגַיִל;ʼĂbîygayil;"Abigail or Abigal, the name of two Israelitesses";
H27;אֲבִידָן;ʼĂbîydân;"Abidan, an Israelite";
H28;אֲבִידָע;ʼĂbîydâʻ;"Abida, a son of Abraham by Keturah";
H29;אֲבִיָּה;ʼĂbîyâh;"Abijah, the name of several Israelite men and two Israelitesses";
H30;אֲבִיהוּא;ʼĂbîyhûwʼ;"Abihu, a son of Aaron";
H31;אֲבִיהוּד;ʼĂbîyhûwd;"Abihud, the name of two Israelites";
H32;אֲבִיהַיִל;ʼĂbîyhayil;"Abihail or Abichail, the name of three Israelites and two Israelitesses";
H33;אֲבִי הָעֶזְרִי;ʼĂbîy hâ-ʻEzrîy;"an Abiezrite or descendant of Abiezer";
H34;אֶבְיוֹן;ʼebyôwn;"destitute";
H35;אֲבִיּוֹנָה;ʼăbîyôwnâh;"provocative of desire, the caper berry (from its stimulative taste)";
H36;אֲבִיטוּב;ʼĂbîyṭûwb;"Abitub, an Israelite";
H37;אֲבִיטָל;ʼĂbîyṭâl;"Abital, a wife of King David";
H38;אֲבִיָּם;ʼĂbîyâm;"Abijam (or Abijah), a king of Judah";
H39;אֲבִימָאֵל;ʼĂbîymâʼêl;"Abimael, a son of Joktan";
H40;אֲבִימֶלֶךְ;ʼĂbîymelek;"Abimelek, the name of two Philistine kings and of two Israelites";
H41;אֲבִינָדָב;ʼĂbîynâdâb;"Abinadab, the name of four Israelites";
H42;אֲבִינֹעַם;ʼĂbîynôʻam;"Abinoam, an Israelite";
H43;אֶבְיָסָף;ʼEbyâçâph;"Ebjasaph, an Israelite";
H44;אֲבִיעֶזֶר;ʼĂbîyʻezer;"Abiezer, the name of two Israelites";
H45;אֲבִי־עַלְבוֹן;ʼĂbîy-ʻalbôwn;"Abialbon, an Israelite";
H46;אָבִיר;ʼâbîyr;"mighty (spoken of God)";
H47;אַבִּיר;ʼabbîyr;"{mighty (spoken of God)}";
H48;אֲבִירָם;ʼĂbîyrâm;"Abiram, the name of two Israelites";
H49;אֲבִישַׁג;ʼĂbîyshag;"Abishag, a concubine of David";
H50;אֲבִישׁוּעַ;ʼĂbîyshûwaʻ;"Abishua, the name of two Israelites";
H51;אֲבִישׁוּר;ʼĂbîyshûwr;"Abishur, an Israelite";
H52;אֲבִישַׁי;ʼĂbîyshay;"Abishai, an Israelite";
H53;אֲבִישָׁלוֹם;ʼĂbîyshâlôwm;"Abshalom, a son of David, also (the fuller form) a later Israelite";
H54;אֶבְיָתָר;ʼEbyâthâr;"Ebjathar, an Israelite";
H55;אָבַךְ;ʼâbak;"probably to coil upward";
H56;אָבַל;ʼâbal;"to bewail";
H57;אָבֵל;ʼâbêl;"lamenting";
H58;אָבֵל;ʼâbêl;"a meadow";
H59;אָבֵל;ʼÂbêl;"Abel, the name of two places in Palestine.";
